#,N*,Name,Bayer,Flam,Gould,Var,GJ,LHS,PLX,HIP,Giclas,DM,HD,HR,RA (2000.0),dec (2000.0),Parallax,Plx Err,Parsecs,APM,Pos A,MURAT,MUDEC,U,B,V,R,I,J,H,K,M,RV,Spec,Notes,NS
2081,N18 Scl,,,,,,2004,,,1837,,CD-33 118,1910,,00 23 16.0,-33 10 03.1,0.04497,0.00115,22.24,0.131,344.7,-0.0028,0.12626,,9.83,8.74,,,6.801,6.295,6.134,7,,K3/4 V,,0023-3310
2082,N9 Dor,,,,,,186.1 A,1724,1145.00 A,23437,,CD-56 1071,32778,,05 02 17.1,-56 04 49.9,0.04496,0.00058,22.24,0.733,356.4,-0.0054,0.7318,,7.65,7.02,6.66,6.3,,,,5.28,,G0 V,,0502-5604 A
2083,N9 Dor B,,,,,,186.1 B,1727,1145.00 B,,,,,,05 02 17.1,-56 04 49.9,0.04496,0.00058,22.24,0.733,356.4,-0.0054,0.7318,,,,,,,,,,,,,0502-5604 B
2084,N30 Gem,,,,,,3428,,,34414,087-024,BD+30 1423,53927,,07 08 04.2,+29 50 04.2,0.04492,0.00143,22.26,0.335,208,-0.0121,-0.29543,,9.28,8.34,7.8,7.4,6.645,6.137,6.057,6.6,19.4,,,0708+2950
2085,N9 Pic,,,,,,200.1,1751,1216.1,,,,,,05 17 59.0,-53 40 31.3,0.0449,0.015,22.27,0.512,154,,,,14.35,13.19,12.49,11.86,10.972,10.443,10.278,11.45,,,,0517-5340
2086,N30 Cnc,,,,,,1112,2022,2017.01,,051-016,,,,08 30 39.3,+32 41 17.9,0.0449,0.0038,22.27,0.548,196,,,,16.02,15.73,15.3,14.9,14.98,14.96,14.86,13.99,21,WD,,0830+3241
2087,N54 Cet,,,,,,9112,1520,673,15099,079-018,BD+08 482,20165,,03 14 47.2,+08 58 50.9,0.04489,0.00107,22.28,0.57,135.3,0.0271,-0.40484,,8.69,7.83,7.3,6.8,6.294,5.878,5.748,6.09,-21.5,,,0314+0858
2088,N56 Vir,,,,,,3830,,,69414,124-010,BD-02 3804,124292,,14 12 45.2,-03 19 12.3,0.04489,0.00101,22.28,0.36,206.5,-0.0107,-0.32214,,8.5,7.9,,,5.737,5.376,5.304,6.16,37.58,G8/K0 V,,1412-0319
2089,N19 Sgr,,,,,,,,,96710,,CD-27 14169,,,19 39 36.2,-26 45 07.1,0.04484,0.00191,22.3,0.454,125.5,0.0276,-0.2637,,,10.488,,,7.498,6.826,6.649,8.74,,,,1939-2645
2090,N15 Phe,,,,,,,,,1322,,,,,00 16 36.6,-50 16 08.4,0.04482,0.00344,22.31,0.429,50.4,0.0345,0.27361,,,12.38,,,8.967,8.33,8.168,10.63,,,FIX DEC TO BE -50 16 08,0016-5016
2091,N56 Her,,,,,,694.2,,4062,86916,,BD+46 2361,,,17 45 33.5,+46 51 19.3,0.04481,0.00133,22.32,0.031,277.7,-0.003,0.0041,,11.9,10.73,,,7.636,7.004,6.795,8.98,,,,1745+4651
2092,N43 Peg,,,,,,,,,116869,,,,,23 41 19.9,+14 46 38.0,0.04481,0.06022,22.32,0.026,357.7,-0.0001,0.0257,,11.3,10.01,,,10.25,9.898,9.833,8.26,,,large HIP parallax and error; corrupted by HIP 1,2341+1446
2093,N21 Lyn,,,,,,3393,1848,1476.11,,192-026,,,,06 25 53.6,+56 09 42.7,0.0448,0.0047,22.32,0.53,166,,,,16.34,14.62,13.37,11.76,10.26,9.65,9.36,12.88,,,,0625+5609
2094,N8 LMi,,,,,,3635,2337,2555.03,,147-011,,,,10 59 04.8,+30 14 55.2,0.0448,0.0058,22.32,0.631,238,,,,17.11,15.36,14.2,11.7,10.54,9.94,9.65,13.61,,,,1059+3014
2095,N57 Her,,,,,,4030,3333,4074.21,,183-005,,,,17 50 13.9,+23 46 15.5,0.0448,0.0041,22.32,0.585,321,,,,15.17,13.54,12.9,10.7,9.32,8.634,8.45,11.79,,,,1750+2346
2096,N13 Ara,,,,,,,,,81262,,CD-53 6772,149192,,16 35 50.4,-53 45 25.4,0.04477,0.0014,22.34,0.264,206.8,-0.0135,-0.23595,,10,8.8,,,6.663,6.134,5.959,7.05,,K4 V,,1635-5345
2097,N58 Her,,,,,,4010,,,85653,,BD+47 2491,159062,,17 30 16.4,+47 24 08.0,0.04477,0.00059,22.34,0.19,66.2,0.0172,0.07682,,7.961,7.222,6.8,6.4,5.8,5.47,5.39,5.47,-84.4,,,1730+4724
2098,N5 Pyx,,,,,,,,,44899,,CD-34 5622,,,09 08 52.1,-34 50 33.8,0.04475,0.00158,22.35,0.345,135.7,0.0196,-0.24694,,11.58,10.28,,,7.734,7.108,6.934,8.53,,,,0908-3450
2099,N55 Cet,,,,,,105.5,,539.02,12493,075-034,BD+00 444,,9602,02 40 42.9,+01 11 55.2,0.04474,0.00144,22.35,0.364,50.7,0.0188,0.23089,,10.72,9.52,8.78,8.14,7.26,6.692,6.5,7.77,78.7,,,0240+0111
2100,N43 Tau,,,,,,176.2,,1049,21988,085-011,BD+27 688,29883,,04 43 35.4,+27 41 14.7,0.04474,0.00098,22.35,0.271,168.6,0.004,-0.26573,,8.92,8.01,7.4,7,6.314,5.872,5.759,6.26,17.4,,,0443+2741
2101,N12 Vel,,,,,,319.1 A,,2083.00 A,42697,,CD-42 4528,74385,,08 42 07.5,-42 55 46.0,0.04474,0.00079,22.35,0.283,252.1,-0.0245,-0.08723,,9.02,8.12,7.61,7.16,,,,6.37,,K1 V,,0842-4255 A
2102,N12 Vel B,,,,,,319.1 B,,2083.00 B,,,,,,08 42 07.5,-42 55 46.0,0.04474,0.00079,22.35,0.283,252.1,-0.0245,-0.08723,,,,,,,,,,,,,0842-4255 B
2103,N11 Sex,,,,,,378.2,,2379.1,49544,,BD+03 2316,,,10 06 56.9,+02 57 51.9,0.0447,0.00193,22.37,0.119,213.1,-0.0043,-0.09951,12.596,11.35,9.94,9.08,8.24,7.189,6.542,6.395,8.19,-20,M0 e,,1006+0257
2104,N65 UMa,,,,,,457,,2810.01,59496,,,238087,,12 12 05.1,+58 55 33.1,0.0447,0.0085,22.37,0.093,91,,,,11.4,9.98,,,7.569,6.962,6.832,8.23,-15,,,1212+5855
2105,N25 Aql,,,,,,784.2 A,3533,4803.01 A,,024-010,,,,20 13 55.9,+06 40 10.0,0.0447,0.0019,22.37,0.633,203,,,,14.77,13.33,12.06,10.55,,,,11.58,,,,2013+0640 A
2106,N25 Aql B,,,,,V1412,784.2 B,3532,4803.01 B,,024-009,,,,20 13 55.9,+06 40 10.0,0.0447,0.0019,22.37,0.63,204,,,,16.86,16.68,16.62,16.68,,,,14.93,,WD,,2013+0640 B
2107,N32 Ori,Ross 49,,,,,,1780,,27111,102-026,BD+09 946,247168,,05 44 56.8,+09 14 31.4,0.04467,0.01498,22.39,0.705,176.8,0.0026,-0.70376,,,,,,,,,,,,,0544+0914 A
2108,N32 Ori B,,,,,,,,,,,,,,05 44 56.8,+09 14 31.4,0.04467,0.01498,22.39,0.705,176.8,0.0026,-0.70376,,,,,,,,,,,,from HIP,0544+0914 B
2109,N35 Leo,Ross 89,,,,,1127,,2282.01,47201,,BD+23 2121,,,09 37 11.4,+22 41 38.9,0.04467,0.00147,22.39,0.232,220,-0.0108,-0.17784,,10.79,9.5,8.7,8.1,7.032,6.447,6.337,7.75,-32.5,M0,,0937+2241
2110,N20 Ari,,,,,,114,1453,580,13258,004-043,BD+15 395,17660,,02 50 36.9,+15 42 35.7,0.04462,0.00132,22.41,0.521,139.4,0.0235,-0.39562,,10.07,8.9,8.21,7.63,6.798,6.301,6.128,7.15,-25,,,0250+1542
2111,N56 Cet,,,94,316 G.,,128 A,,663.00 A,14954,,BD-01 457,19994,962,03 12 46.4,-01 11 46.0,0.04461,0.00074,22.42,0.205,109.7,0.0129,-0.06923,,5.61 J,5.04 J,4.72 J,4.41 J,,,,3.29,,G0 V,,0312-0111 A
2112,N56 Cet B,,,,,,128 B,,,,,,,,03 12 46.4,-01 11 46.0,0.04461,0.00074,22.42,0.205,109.7,0.0129,-0.06923,,,,,,,,,,,,,0312-0111 B
2113,N50 Boo,,,,,,3851,2921,3283.01,,,,,,14 28 27.7,+45 54 27.6,0.0446,0.0055,22.42,0.907,276,,,,19.21,16.99,16,13.4,11.34,10.75,10.43,15.23,,,,1428+4554
2114,N44 Aqr,,,,,,,,5083.02 A,,,BD-05 5480,,,21 08 48.3,-04 25 58.8,0.0446,0.0086,22.42,0.089,284,,,,,9.44,,,,,,,,K8 d,,2108-0425 A
2115,N44 Aqr B,,,,,,,,5083.02 B,,,,,,21 08 48.9,-04 26 00.7,0.0446,0.0086,22.42,,,,,,,13.4,,,,,,,,,,2108-0425 B
2116,N8 Lac,,,,,V446,850,,5368.1,109527,214-013,BD+35 4725,210667,,22 11 11.9,+36 15 22.8,0.0446,0.00079,22.42,0.252,174.2,0.0021,-0.25023,,8.09,7.27,6.7,6.3,5.837,5.492,5.389,5.51,,K0,,2211+3615
2117,N23 Ser,,,,,,,,,76051,,,,,15 31 54.0,+09 39 26.9,0.04459,0.02041,22.43,0.046,275.5,-0.0031,0.00441,,10.53,9.78,,,8.669,8.333,8.253,8.02,,,large HIP parallax and error; corrupted by HIP 7,1531+0939
2118,N24 Ser,Unukalhai,Alp,24,21 G. Ser Cap,,596.2,,3557,77070,,BD+06 3088,140573,5854,15 44 16.1,+06 25 32.3,0.04459,0.00067,22.43,0.142,71.9,0.009,0.04414,,3.81,2.64,2.05,1.55,0.831,0.289,0.15,0.89,2.63,,,1544+0625
2119,N30 Cyg,,Mu1,78,,,836.6 A,,5245.00 A,107310,,BD+28 4169,206826,8309,21 44 08.6,+28 44 33.5,0.04459,0.00068,22.43,0.356,133,0.0198,-0.24273,,,,,,,,,,,,SB? in CNS91;,2144+2844 A
2120,N30 Cyg B,,Mu2,,,,836.6 B,,5245.00 B,,,,206827,8310,21 44 08.6,+28 44 33.5,0.04459,0.00068,22.43,0.356,133,0.0198,-0.24273,,,,,,,,,,,,SB? in CNS91,2144+2844 B
2121,N7 Mic,,,,20 G.,,4157,,,102264,,CD-29 17282,197214,,20 43 16.0,-29 25 26.1,0.04457,0.00087,22.44,0.212,191.8,-0.0033,-0.20755,,7.62,6.95,,,5.71,5.378,5.312,5.19,-19.8,G3/5 V,,2043-2925
2122,N22 Pup,,,18,262 G.,,297.2 A,,1939.00 A,40035,,BD-13 2420,68146,3202,08 10 39.8,-13 47 57.2,0.04454,0.00076,22.45,0.257,283,-0.0172,0.05768,,6,5.51,5.23,4.96,,,,3.75,,F7 V,,0810-1347 A
2123,N22 Pup B,,,,,,297.2 B,,1939.00 B,,,,,,08 10 39.8,-13 47 57.2,0.04454,0.00076,22.45,0.257,283,-0.0172,0.05768,,,,,,,,,,,,,0810-1347 B
2124,N18 For,,,,,,84.1 A,1337,433.10 A,9749,274-145,CD-28 657,,,02 05 23.7,-28 04 11.0,0.04453,0.00195,22.46,0.542,38.9,0.0257,0.42212,,12.3,10.94,10.05,9.1,,,,9.18,,,,0205-2804 A
2125,N18 For B,,,,,,84.1 B,1338,433.10 B,,274-146,,,,02 05 23.7,-28 04 11.0,0.04453,0.00195,22.46,0.542,38.9,0.0257,0.42212,,14.29,12.79,11.66,10.2,,,,11.03,,,,0205-2804 B
2126,N25 Ser,,,,,,600,,3591.1,77725,137-059,BD+11 2874,,,15 52 08.2,+10 52 28.1,0.04453,0.00149,22.46,0.358,228.3,-0.0181,-0.23836,,10.78,9.35,8.48,7.66,,,,7.59,,,SB2 in Tok92,1552+1052 A
2127,N25 Ser B,,,,,,,,,,,,,,15 52 08.2,+10 52 28.1,0.04453,0.00149,22.46,0.358,228.3,-0.0181,-0.23836,,,,,,,,,,,,from HIP; spectroscopic companion,1552+1052 B
2128,N21 Sco,,,,,,654.3,,3883,83846,,CD-41 11285,154590,,17 08 07.3,-41 43 26.3,0.04453,0.00151,22.46,0.379,213.3,-0.0186,-0.31632,,9.34,8.28,7.64,7.08,,,,6.52,-19.1,K3 V,,1708-4143
2129,N4 Cae,,,,,,1071,,,21284,,,29220,,04 34 01.2,-43 31 29.0,0.04452,0.0008,22.46,0.097,142.4,0.0054,-0.07705,,9.95,8.82,,,6.808,6.249,6.103,7.06,,,,0434-4331
2130,N31 Cyg,Ross 765,,,,,4167,3590,4993,102870,231-017,BD+52 2815,,,20 50 33.1,+52 53 58.6,0.04452,0.00101,22.46,0.527,33.2,0.0318,0.44101,,11.06,9.74,8.95,8.2,7.236,6.619,6.48,7.98,-40.6,,,2050+5253
2131,N44 Peg,,,,,,838.1 A,3717,5271.00 A,,093-040,BD+05 4874,207491,,21 49 12.3,+05 43 22.1,0.0445,0.0093,22.47,0.55,93,,,,9.68 J,8.64 J,8.04 J,7.53 J,,,,6.88,,,,2149+0543 A
2132,N44 Peg B,,,,,,838.1 B,3720,,,093-041,,,,21 49 12.3,+05 43 22.1,0.0445,0.0093,22.47,0.55,93,,,,,,,,,,,,,,,2149+0543 B
2133,N51 Boo,,,,,,3874,2999,,72981,066-041,,,,14 54 53.5,+09 56 36.6,0.04446,0.0026,22.49,0.51,218.5,-0.0215,-0.39895,,12.68,11.29,10.38,9.35,8.217,7.618,7.388,9.53,,,,1454+0956
2134,N13 Car,,,,45 G.,,275,,1773,36210,,CD-51 2507,59468,,07 27 25.5,-51 24 09.3,0.04445,0.00053,22.5,0.285,269.5,-0.0305,-0.00247,,7.42,6.72,6.34,5.99,5.515,5.154,5.042,4.96,3.4,G5 IV-V,,0727-5124
2135,N57 Vir,Heze,Zet,79,167 G.,,3792,,3100,66249,,BD+00 3076,118098,5107,13 34 41.6,-00 35 45.0,0.04445,0.00089,22.5,0.283,279.9,-0.0186,0.04856,,3.48,3.4,,,3.257,3.154,3.223,1.63,-13.2,A0/1 IV,,1334-0035
2136,N31 Cnc,,,,,,301.1,1998,1973,40671,051-006,BD+31 1781,,,08 18 10.8,+30 36 02.9,0.04443,0.00128,22.51,0.871,198.9,-0.0218,-0.82359,,9.96,8.83,8.16,7.58,6.78,6.23,6.1,7.07,11.6,,,0818+3036
2137,N8 Crv,,,,,,9387,,,59000,,BD-18 3319,105065,,12 05 50.7,-18 52 30.9,0.04441,0.00151,22.52,0.32,183.4,-0.0013,-0.31985,,11.33,9.97,,,7.421,6.79,6.615,8.2,,K5 V,,1205-1852
2138,N32 And,,,,,,92.2,1383,470,,134-024,,,,02 18 12.0,+44 16 32.7,0.0444,0.0248,22.52,0.535,105,,,,15.02,13.49,12.43,11.11,9.81,9.16,8.93,11.73,,,,0218+4416
2139,N44 Tau,,,,,,,,781,,,,,,03 44 15.9,+24 47 55.6,0.0444,0.0141,22.52,0.054,158,,,,15.6,10.66,,,,,,8.89,,,,0344+2447
2140,N10 Dor,,,,,,181.1,199,1121,,,,,,04 56 02.3,-61 09 42.6,0.0444,0.0108,22.52,1.102,123,,,,13.57,12.05,11.14,10.16,9.042,8.507,8.312,10.29,,,,0456-6109
2141,N23 CVn,,,,,,3797,2777,3123.02,,177-052,,,,13 40 18.0,+47 12 28.7,0.0444,0.0053,22.52,0.585,148,,,,17.03,15.3,14.4,12.5,10.685,10.152,9.864,13.53,,,,1340+4712
2142,N66 UMa,,,,,,520 A,,3118.01 A,66492,,BD+48 2138,,,13 37 51.2,+48 08 17.1,0.04438,0.00268,22.53,0.272,239.3,-0.0234,-0.13914,,,,,,,,,,,,"YPC negative parallax set = 0; CNS69 ""VAR"" not confirmed/refuted",1337+4808 A
2143,N66 UMa B,,,,,,520 B,,3118.01 B,,,,,,13 37 51.2,+48 08 17.1,0.04438,0.00268,22.53,0.272,239.3,-0.0234,-0.13914,,,,,,,,,,,,YPC negative parallax set = 0,1337+4808 B
2144,N66 UMa C,,,,,,520 C,,3118.01 C,,,,,,13 37 51.2,+48 08 17.1,0.04438,0.00268,22.53,0.272,239.3,-0.0234,-0.13914,,,,,,,,,,,,YPC negative parallax set = 0,1337+4808 C
2145,N45 Peg,,,,,,2155,3947,5676.01,115680,029-033,,,,23 26 12.4,+08 53 37.8,0.04435,0.00191,22.55,0.561,67.8,0.035,0.21167,,12.05,10.59,9.71,8.82,7.763,7.07,6.923,8.82,,K7,,2326+0853
2146,N46 Peg,,,,,,,,,110951,127-035,,,,22 28 45.9,+18 55 54.1,0.04434,0.00181,22.55,0.21,127.7,0.0117,-0.12826,,11.94,10.81,10.1,9.6,7.82,7.17,6.98,9.04,,,,2228+1855
2147,N7 Hyi,,,,,,3167,,,11852,,CD-73 110,16348,,02 32 58.9,-72 41 14.8,0.04431,0.0008,22.57,0.243,35.5,0.0316,0.19737,,9.94,8.9,,,6.904,6.375,6.21,7.13,,K4 V,,0232-7241
2148,N67 UMa,,,,,,3606,2275,2460.01,51468,196-028,BD+60 1266,90875,,10 30 47.0,+59 45 04.0,0.04431,0.00121,22.57,0.524,236.8,-0.058,-0.28735,,9.92,8.77,8.1,7.53,6.673,6.202,6.04,7,,,,1030+5945
2149,N19 Aur,,,,,,1091,,1588.01,,,,,,06 48 49.3,+37 08 36.2,0.0443,0.0056,22.57,0.194,274,,,,14.1,13.34,13.3,10.8,9.811,9.176,8.947,11.57,,,,0648+3708
2150,N48 Oph,,,,,,3987,,,83405,,BD-05 4394,,,17 02 49.6,-06 04 06.2,0.04429,0.00822,22.58,0.148,238,-0.0084,-0.07866,,12.1,10.9,,,7.802,7.163,6.945,9.13,,,,1702-0604
2151,N45 Aqr,,,,,HK,890,,5597.31,114252,,BD-16 6218,,,23 08 19.6,-15 24 35.8,0.04429,0.00207,22.58,0.104,103.4,0.007,-0.02415,,12.26,10.84,9.95,9,7.979,7.301,7.114,9.07,5.7,,,2308-1524
2152,N36 Leo,,,39,,,387 A,,2413.00 A,50384,,BD+23 2207,89125,4039,10 17 14.5,+23 06 22.4,0.04428,0.00074,22.58,0.425,256.8,-0.03,-0.09722,,,,,,,,,,,F8 Vbw,,1017+2306 A
2153,N36 Leo B,,,,,,387 B,,,,,,,,10 17 14.5,+23 06 22.4,0.04428,0.00074,22.58,0.425,256.8,-0.03,-0.09722,,,,,,,,,,,M1,,1017+2306 B
2154,N11 Gru,,,,,,,,5269,107772,,CD-41 14656,,,21 49 59.8,-41 14 42.2,0.04426,0.00213,22.59,0.337,313.6,-0.0216,0.23253,,,11.9,,,7.936,7.303,7.139,10.13,,,,2149-4114
2155,N33 Ori,,,,,,3392,1838,1472.01,,105-030,,,,06 20 49.7,+06 45 13.5,0.0442,0.0042,22.62,0.515,93,,,,15.9,16.37,15.8,15.7,15.38,15.02,14.96,14.59,,WD,,0620+0645
2156,N26 Aql,,,,,,761.2,,4573,96121,092-008,BD+00 4241,,,19 32 37.9,+00 34 39.0,0.0442,0.00173,22.62,0.221,84,0.0147,0.02323,13.091,11.88,10.43,9.55,8.68,7.635,7.045,6.808,8.66,,,,1932+0034
2157,N58 Vir,,,,41 G.,,,322,2820,59750,,BD-09 3468,106516,4657,12 15 10.6,-10 18 44.7,0.04416,0.001,22.64,1.013,178.2,0.0022,-1.01244,,6.57,6.11,,,5.132,5.004,4.839,4.33,8.2,F6 V,,1215-1018
2158,N14 Crt,,,,,,1143 A,,,54922,,BD-22 3102,97782,,11 14 48.2,-23 06 17.7,0.04412,0.00166,22.67,0.47,219,-0.0214,-0.36545,,,,,,,,,,,K4 V,,1114-2306 A
2159,N14 Crt B,,,,,,1143 B,,,,,,,,11 14 48.2,-23 06 17.7,0.04412,0.00166,22.67,0.47,219,-0.0214,-0.36545,,,,,,,,,,,,from HIP,1114-2306 B
2160,N7 CMa,,,,,,256,,1638.01,33560,,BD-12 1724,51849,,06 58 26.1,-12 59 30.6,0.04411,0.0022,22.67,0.156,159.4,0.0038,-0.14601,,10.31,9.15,8.45,7.81,,,,7.37,,K4 V,,0658-1259 A
2161,N7 CMa B,,,,,,,,,,,,,,06 58 26.1,-12 59 30.6,0.04411,0.0022,22.67,0.156,159.4,0.0038,-0.14601,,,,,,,,,,,,from HIP; imaged companion in HIP,0658-1259 B
2162,N47 Peg,,,,,V403,,,,111888,,BD+03 4748,214683,,22 39 50.8,+04 06 58.0,0.0441,0.00112,22.68,0.209,58.8,,,,9.384,8.482,7.9,7.5,6.754,6.206,6.145,6.7,,,,2209+4102
2163,N9 Lac,,,,,,4260,6397,5363.01,,214-012,,,,22 09 45.5,+41 02 21.6,0.0441,0.0031,22.68,0.452,59,0.012,0.10831,,14.06,12.57,11.6,9.9,8.755,8.124,7.867,10.79,,K2/3 V,,2239+0406
2164,N15 Lyr,,,,,,708.4,,4198,89474,,BD+45 2684,168009,6847,18 15 32.5,+45 12 33.5,0.04409,0.00051,22.68,0.138,213.9,-0.0073,-0.1144,,6.913,6.309,,,5.12,4.836,4.756,4.53,-64.4,,,1815+4512
2165,N8 Ant,,,,54 G.,,385.1,,2402,50075,,CD-32 7158,88742,4013,10 13 24.7,-33 01 54.2,0.04404,0.00072,22.71,0.375,279.9,-0.0294,0.06439,,6.97,6.37,6.04,5.73,5.326,5.063,4.955,4.59,41.9,G0 V,,1013-3301
2166,N8 Del,,,,,,1259,3598,5000.1,103256,144-044,BD+12 4499,,,20 55 06.9,+13 10 36.4,0.04404,0.00118,22.71,0.664,55.9,0.0377,0.37213,,9.89,8.82,8.18,7.63,6.826,6.276,6.181,7.04,-34,,,2055+1310
2167,N57 Cet,,,,,,3072,,208,4845,,BD-11 192,,,01 02 21.1,-10 25 25.9,0.04403,0.00429,22.71,0.18,173.2,0.0014,-0.17872,,11.3,10.1,,,7.417,6.718,6.533,8.31,-20,,,0102-1025
2168,N39 Psc,,,,,,55.2,,,5957,069-062,,,,01 16 39.4,+25 19 53.3,0.04403,0.00159,22.71,0.441,103.7,0.0316,-0.10409,,11.52,10.06,9.3,8.6,7.464,6.839,6.656,8.27,,,,0116+2519
2169,N40 Psc,,,,,,3007,1022,11.01,,030-045,,,,00 07 55.3,+07 59 01.2,0.044,0.0063,22.73,0.546,222,,,,14.61,13.09,12.02,10.67,9.39,8.91,8.65,11.31,-24.1,,,0007+0759
2170,N19 Per,,,,,,3217,,695,15673,174-047,BD+51 722,232781,,03 21 54.8,+52 19 53.5,0.04399,0.00123,22.73,0.41,229.2,-0.0339,-0.26777,12.512,10.08,9.046,8.4,7.9,7.118,6.595,6.452,7.26,,,,0321+5219
2171,N59 Her,,,,,,3974,,3829.1,82333,181-010,BD+39 3048,,,16 49 24.7,+39 16 34.5,0.04399,0.00115,22.73,0.295,160.6,0.0084,-0.27836,,10.95,9.741,9,8.4,7.312,6.692,6.57,7.95,26,,,1649+3916
2172,N46 Aqr,,Ups,59,161 G.,,863.2,,5458,111449,,BD-21 6251,213845,8592,22 34 41.6,-20 42 29.6,0.04397,0.00075,22.74,0.266,123.5,0.0158,-0.14658,,5.64,5.2,4.95,4.71,4.532,4.266,4.327,3.42,-1.9,F7 V,V mag in YPC questionable,2234-2042
2173,N68 UMa,,,,,,,,,54426,,BD+39 2424,96612,,11 08 14.0,+38 25 35.9,0.04391,0.00103,22.77,0.217,280.8,-0.0182,0.04065,,9.291,8.297,7.7,7.2,6.57,6.113,6.002,6.5,-36.1,,,1108+3825
2174,N12 Tel,,,,,,1247,,,98316,,CD-55 8349,188559,,19 58 33.0,-54 56 12.8,0.04391,0.00117,22.77,0.164,138.2,0.0127,-0.12203,,9.59,8.54,,,6.672,6.188,6.068,6.75,,K3 V,,1958-5456
2175,N33 And,,,,,,3042,,97.12,,172-013,,,,00 36 06.8,+45 30 49.5,0.0439,0.0098,22.78,0.274,240,,,,13.25,11.71,10.9,10.1,8.167,7.576,7.359,9.92,,,,0036+4530
2176,N22 Lyn,,,,,,,,,33805,,,,,07 01 06.2,+59 49 59.8,0.04388,0.00221,22.79,0.167,273.4,-0.0221,0.00997,,12.19,10.97,10.2,9.6,8.129,7.543,7.355,9.18,,,,0701+5949
2177,N69 UMa,,,,,,383.1,2237,2397,50125,196-013,BD+53 1395,233719,,10 13 57.4,+52 30 24.2,0.04387,0.00141,22.79,0.766,173.5,0.0095,-0.7613,,10.66,9.52,8.83,8.2,7.364,6.772,6.636,7.73,-24.8,,,1013+5230
2178,N12 Lep,,,,,,,,,27922,,BD-19 1297,39855,,05 54 30.2,-19 42 15.6,0.04386,0.00119,22.8,0.096,105.8,0.0066,-0.02622,,,,,,,,,,,G6 V,,0554-1942 A
2179,N12 Lep B,,,,,,,,,,,,,,05 54 30.2,-19 42 15.6,0.04386,0.00119,22.8,0.096,105.8,0.0066,-0.02622,,,,,,,,,,,,from HIP,0554-1942 B
2180,N15 Crt,,,,,,416,2370,2604,54677,,BD-14 3277,97233,,11 11 33.1,-14 59 29.0,0.04384,0.00184,22.81,0.919,130.6,0.0482,-0.59786,,10.28,9.05,8.3,7.62,6.664,6.068,5.874,7.26,-6,K4 V,"CNS91 ""VAR"" not confirmed/refuted",1111-1459
2181,N45 Tau,Wolf 1322,,,,,157.1,1616,879.1,,006-042,,,,03 59 56.8,+26 05 41.6,0.0438,0.0051,22.83,0.778,108,,,,14.14,12.62,11.51,10.06,8.714,8.081,7.821,10.83,94,,,0359+2605
2182,N12 Gru,,,,,,9780,3804,5416.1,,,,,,22 25 07.9,-47 52 37.6,0.0438,0.0213,22.83,0.782,143,,,,14.11,12.51,11.31,9.82,8.338,7.726,7.427,10.71,,,,2225-4752
2183,N58 Cet,Wolf 1132,,,,,1051,1438,556,12749,,,,,02 43 53.2,-08 49 45.7,0.04378,0.00316,22.84,0.975,140.7,0.0417,-0.75433,14.457,13.38,11.92,10.947,9.825,8.693,8.1,7.922,10.12,,M2.5,,0243-0849
2184,N53 Dra,,,,,,341.1,,2221,46417,253-026,BD+81 297,,,09 27 56.2,+80 34 48.9,0.04376,0.00104,22.85,0.437,179,0.0033,-0.43723,,10.53,9.3,8.6,8,7.025,6.419,6.292,7.5,-21.4,K5,,0927+8034
2185,N19 Scl,,,,,,7,1026,16.1,738,266-057,CD-27 16,,,00 09 04.4,-27 07 19.7,0.04374,0.00253,22.86,0.702,82.8,0.0521,0.08788,,13.21,11.69,10.74,9.79,8.655,8.143,7.856,9.89,,,,0009-2707
2186,N59 Cet,,,,,,,,,10416,,BD-04 361,13789,,02 14 13.6,-03 38 06.7,0.04373,0.00118,22.87,0.218,183.2,-0.0008,-0.2177,,10.1,8.8,,,6.66,6.184,6.015,7,,K3/4 V,,0214-0338
2187,N70 UMa,,,,,,3662,,2643.1,55718,,,,,11 24 59.8,+40 00 12.6,0.04372,0.00148,22.87,0.112,261.2,-0.0096,-0.01717,,11.6,10.28,,,7.542,6.885,6.731,8.48,4,,,1124+4000
2188,N16 Lyr,,,,,,,3429,4444.01,,205-055,,,,19 05 16.9,+45 07 10.8,0.0437,0.0141,22.88,0.598,178,,,,15.56,13.89,12.71,11.21,9.85,9.3,9.027,12.09,,,,1905+4507
2189,N13 Vul,,,,,,,3673,5164.01,,187-043,,,,21 26 26.6,+24 51 25.1,0.0437,0.0123,22.88,0.607,124,,,,14.7,13.6,12.53,11.19,9.91,9.38,9.15,11.8,-63.3,,,2126+2451
2190,N60 Her,,,,,,,,,88976,,,,,18 09 40.7,+31 52 12.8,0.04368,0.00773,22.89,0.198,15.9,0.0043,0.19054,,12.91,11.43,10.6,9.8,8.23,7.66,7.43,9.63,,,,1809+3152
2191,N34 And,Ross 680,,,,,3023,1054,47.01,1386,130-061,,,,00 17 20.3,+29 10 58.9,0.04367,0.00264,22.9,0.813,58.2,0.0528,0.42892,,13.01,11.52,10.52,9.35,8.15,7.5,7.24,9.72,-10.4,,,0017+2910
2192,N16 Crt,,,,,,,,,56284,,,,,11 32 19.0,-16 58 07.3,0.04366,0.00255,22.9,0.289,144,0.0118,-0.234,,12.95,11.45,10.48,9.42,8.278,7.678,7.47,9.65,,,,1132-1658
